name, desc, latitude, longitude, color, symbol
Oregon 650, 0m, 5.243834, 95.590287    , green, pin
Oregon 650, 200m, 5.242881, 95.590065  , green, pin
Oregon 650, 400m, 5.241920, 95.589495  , green, pin
Oregon 650, 600m, 5.241580, 95.589469  , green, pin
Oregon 650, 800m, 5.240227, 95.588971  , green, pin
Oregon 650, 1000m, 5.239516, 95.589117 , green, pin
Oregon 650, 1200m, 5.238381, 95.589879 , green, pin
Oregon 650, 1400m, 5.237776, 95.590300 , green, pin
Oregon 650, 1600m, 5.237692, 95.590362 , green, pin
Oregon 650, 1800m, 5.236950, 95.591048 , green, pin
